borough,target_date,lead_days,issue_date,tmax_f_fcst,tmin_f_fcst,overnight_low_f_fcst,rh_at_peak_pct_fcst,hi_max_f_fcst,threshold_band_fcst,hazard_level_fcst,hazard_label_fcst,eval_tmax_error_f,eval_hi_error_f,eval_level_error
Staten Island,2026-07-21,4,2026-07-17,89.5,69.0,71.1,42.9,90.9,<95,1,minor,-1.0,-3.1,0
Staten Island,2026-07-22,4,2026-07-18,90.5,74.2,77.2,49.9,95.5,95-99,2,moderate,-1.9,-2.5,0
Staten Island,2026-07-23,4,2026-07-19,89.6,76.9,77.9,48.9,93.4,<95,1,minor,-5.8,-10.7,-2
Staten Island,2026-07-24,4,2026-07-20,92.5,74.7,68.7,51.9,100.7,100-104,3,major,-1.9,-2.0,0
Staten Island,2026-07-25,4,2026-07-21,89.5,65.7,56.7,52.0,94.5,<95,1,minor,1.1,1.7,0
Staten Island,2026-07-26,4,2026-07-22,87.2,67.3,65.3,39.5,86.7,<95,0,little_to_no_risk,7.7,7.6,0
Staten Island,2026-07-20,5,2026-07-15,88.8,65.8,67.8,44.5,90.5,<95,1,minor,1.4,1.4,1
Staten Island,2026-07-21,5,2026-07-16,91.0,72.3,74.3,42.5,93.1,<95,1,minor,0.5,-0.9,0
Staten Island,2026-07-22,5,2026-07-17,87.7,75.3,78.3,50.7,90.7,<95,1,minor,-4.8,-7.3,-1
Staten Island,2026-07-23,5,2026-07-18,90.3,76.0,77.0,51.0,95.5,95-99,2,moderate,-5.2,-8.6,-1
Staten Island,2026-07-24,5,2026-07-19,89.1,73.4,67.4,51.7,93.7,<95,1,minor,-5.3,-9.0,-2
Staten Island,2026-07-25,5,2026-07-20,89.1,67.2,58.2,56.0,95.6,95-99,2,moderate,0.7,2.8,1
Staten Island,2026-07-26,5,2026-07-21,87.9,64.5,62.5,40.6,87.9,<95,0,little_to_no_risk,8.4,8.8,0
Staten Island,2026-07-20,6,2026-07-14,79.5,73.4,75.4,44.3,79.2,<95,0,little_to_no_risk,-8.0,-9.8,0
Staten Island,2026-07-21,6,2026-07-15,91.3,71.1,73.1,43.6,94.1,<95,1,minor,0.8,0.1,0
Staten Island,2026-07-22,6,2026-07-16,88.0,77.1,80.1,53.6,92.4,<95,1,minor,-4.5,-5.6,-1
Staten Island,2026-07-23,6,2026-07-17,82.1,77.5,78.6,53.1,83.4,<95,0,little_to_no_risk,-13.3,-20.8,-3
Staten Island,2026-07-24,6,2026-07-18,91.2,72.0,66.0,56.5,100.4,100-104,3,major,-3.2,-2.3,0
Staten Island,2026-07-25,6,2026-07-19,90.4,67.5,58.5,53.9,97.2,95-99,2,moderate,2.0,4.4,1
Staten Island,2026-07-26,6,2026-07-20,78.4,62.2,60.1,38.7,77.7,<95,0,little_to_no_risk,-1.1,-1.4,0
Staten Island,2026-07-20,7,2026-07-13,73.5,69.2,71.2,48.0,72.8,<95,0,little_to_no_risk,-13.9,-16.2,0
Staten Island,2026-07-21,7,2026-07-14,89.6,75.0,77.0,44.0,91.5,<95,1,minor,-0.8,-2.5,0
Staten Island,2026-07-22,7,2026-07-15,90.3,73.5,76.5,53.3,96.8,95-99,2,moderate,-2.1,-1.2,0
Staten Island,2026-07-23,7,2026-07-16,89.3,76.8,77.8,47.9,92.5,<95,1,minor,-6.1,-11.6,-2
Staten Island,2026-07-24,7,2026-07-17,91.5,73.6,67.6,47.6,96.3,95-99,2,moderate,-2.9,-6.4,-1
Staten Island,2026-07-25,7,2026-07-18,88.4,64.2,55.2,54.9,93.7,<95,1,minor,-0.0,0.8,0
Staten Island,2026-07-26,7,2026-07-19,77.3,63.2,61.1,34.7,76.4,<95,0,little_to_no_risk,-2.1,-2.7,0
